champion_name,skill_name,skill_description
Lugan the Steadfast,Crushing Blow,Attacks 1 enemy. Heals all allies except this Champion by 25% of the damage inflicted. Damage inflicted is proportional to MAX HP.<br>Damage based on: [HP]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Lugan the Steadfast,Bodyguard,Places a 60% [Increase DEF] buff on this Champion for 3 turns. Also places a 50% [Ally Protection] buff on all allies for 2 turns. % Ally Protection<br>Lvl. 2 Cooldown -1
Lugan the Steadfast,Mark of Silence,Attacks all enemies. Has an 80% chance of placing a [Block Cooldown Skills] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Buff/Debuff Chance +10%<br>Lvl. 7 Damage +10%
Richtoff the Bold,Ruination,Attacks all enemies. Decreases each target's MAX HP by 10% of the damage dealt.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Richtoff the Bold,Bloodletting,Attacks 1 enemy 3 times. Places a 5% [Poison] debuff for 2 turns. This debuff cannot be removed.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Cooldown -1
Richtoff the Bold,Cursehold,Attacks 1 enemy. Copies one random debuff on the target and places it on all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Cooldown -1
Baron,Trample,"Attacks 1 enemy. Will attack all remaining enemies with any surplus skill, Skypiercer, for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%"
Baron,Split Asunder,"Attacks 1 enemy. Places a 60% [Decrease DEF] debuff for 2 turns. This debuff is guaranteed. Has a 20% chance of unlocking a secret Skill, Skypiercer, for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1"
Baron,Righteous Charge,"Attacks 1 enemy. Damage increases according to the number of buffs on this Champion. Has a 40% chance to unlock a secret skill, Skypiercer, for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Cooldown -1<br>Lvl. 5 Cooldown -1"
Baron,Skypiercer,Attacks all enemies. Deals Pure Damage. Will ignore [Shield] and {Block Damage] buffs.<br>Damage based on: [ATK]
Black Knight,Heavy Blow,Attacks 1 enemy. Places a [Provoke] debuff for 1 turn if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Black Knight,Lower Visor,Places a 15% [Continuous Heal] buff and a 30% [Increase DEF] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1
