Aura;title;skill_1;;Level;Based On;Targets;Hits;Who;Chance;%;Effect 1;B Who;Turns;Places If;Chance;%;Effect 2;B Who;Turns;Places If;Chance;%;Effect 3;B Who;Turns;Places If;Chance;%;Effect 4;B Who;Turns;Places If;Chance;%;Effect 5;B Who;Turns;Places If
Increases Magic Ally ATK in all Battles by 30%.;Skink;Slippery Strike ;Level 1;-;ATK;1;1;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Slippery Strike ;Level 2;Damage +5%;ATK;1;1;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Slippery Strike ;Level 3;Damage +5%;ATK;1;1;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Slippery Strike ;Level 4;Damage +5%;ATK;1;1;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Slippery Strike ;Level 5;Damage +10%;ATK;1;1;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 1;-;ATK;1;1;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 2;Damage +5%;ATK;1;1;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 3;Damage +5%;ATK;1;1;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 4;Chance +10%;ATK;1;1;Enemy;60;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 5;Chance +15%;ATK;1;1;Enemy;75;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Withering Poison ;Level 6;Cooldown -1;ATK;1;1;Enemy;75;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Catalyze ;Level 1;Damage +5%;ATK;1;1;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Catalyze ;Level 2;Damage +10%;ATK;1;1;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Catalyze ;Level 3;Damage +10%;ATK;1;1;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;Catalyze ;Level 4;Cooldown -1;ATK;1;1;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Increases All ATK in the arena by 30%;Acolyte;Tireless Anger ;Level 1;-;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Tireless Anger ;Level 2;Damage +5%;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Tireless Anger ;Level 3;Damage +5%;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Tireless Anger ;Level 4;Damage +5%;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
