Aura;title;Skill #;skill_1;;Level;Based On;Targets;Hits;Cooldown;Who;Chance;%;Effect 1;B Who;Turns;Places If;Chance;%;Effect 2;B Who;Turns;Places If;Chance;%;Effect 3;B Who;Turns;Places If;Chance;%;Effect 4;B Who;Turns;Places If;Chance;%;Effect 5;B Who;Turns;Places If
Increases Magic Ally ATK in all Battles by 30%.;Skink;A1;Slippery Strike ;Level 1;-;ATK;1;1;-;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A1;Slippery Strike ;Level 2;Damage +5%;ATK;1;1;-;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A1;Slippery Strike ;Level 3;Damage +5%;ATK;1;1;-;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A1;Slippery Strike ;Level 4;Damage +5%;ATK;1;1;-;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A1;Slippery Strike ;Level 5;Damage +10%;ATK;1;1;-;Enemy;-;-;Ignore Block Damage;-;-;-;-;-;Ignore Shield;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 1;-;ATK;1;1;4;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 2;Damage +5%;ATK;1;1;4;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 3;Damage +5%;ATK;1;1;4;Enemy;50;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 4;Chance +10%;ATK;1;1;4;Enemy;60;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 5;Chance +15%;ATK;1;1;4;Enemy;75;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A2;Withering Poison ;Level 6;Cooldown -1;ATK;1;1;3;Enemy;75;30;Dec DEF;Target;2;-;-;50;Heal Red;Target;2;Dec DEF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A3;Catalyze ;Level 1;Damage +5%;ATK;1;1;4;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A3;Catalyze ;Level 2;Damage +10%;ATK;1;1;4;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A3;Catalyze ;Level 3;Damage +10%;ATK;1;1;4;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Skink;A3;Catalyze ;Level 4;Cooldown -1;ATK;1;1;3;Enemy;-;-;Crit;Target;-;Heal Red;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Increases All ATK in the arena by 30%;Acolyte;A1;Tireless Anger ;Level 1;-;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A1;Tireless Anger ;Level 2;Damage +5%;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A1;Tireless Anger ;Level 3;Damage +5%;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A1;Tireless Anger ;Level 4;Damage +5%;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A1;Tireless Anger ;Level 5;Damage +5%;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A1;Tireless Anger ;Level 6;Damage +5%;ATK;1;1;-;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A2;Dark Exhaustion ;Level 1;-;ATK;1;1;4;Enemy;75;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A2;Dark Exhaustion ;Level 2;Damage +5%;ATK;1;1;4;Enemy;75;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;A2;Dark Exhaustion ;Level 3;Chance +5%;ATK;1;1;4;Enemy;80;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
